4,318163
4,318163
170,6604330
170,6604330
2,13887
170,6604330
170,6604330
170,6604330
4,201549
4,201549
1,384
4,201549
1,384
1,384
1,384
11,83967
170,6604330
8,74174
170,6604330
11,83967
170,6604330
170,6604330
170,6604330
7,71267
170,6604330
4,318163
23,1319420
170,6604330
7,71267
4,201549
4,318163
5,24829
5,24829
170,6604330
170,6604330
5,24829
4,318163
170,6604330
23,1319420
7,71267
1,237
10,17331
4,318163
1,432
5,24829
10,17331
1,3928
4,318163
7,71267
170,6604330
7,71267
4,201549
4,318163
1,432
4,318163
23,1319420
1,3928
1,3928
4,318163
4,318163
5,24829
5,32588
10,17331
23,1319420
10,17331
10,17331
23,1319420
13,81879
23,1319420
13,81879
66,512196
170,6604330
8,74174
7,71267
11,59881
7,71267
4,44098
2,52893
4,44098
4,44098
4,44098
1,208
7,71267
2,52893
7,71267
1,208
34,441116
4,44098
1,208
23,1319420
4,44098
8,74174
7,71267
7,71267
23,1319420
2,23585
1,432
4,318163
1,14403
170,6604330
5,32588
4,318163
66,512196
4,318163
23,1319420
3,42007
4,86548
8,12348
8,12348
12,3701650
12,3701650
2,52893
170,6604330
2,526
9,42045
10,5477862
10,5477862
111,30354
2,52893
10,63209
10,5477862
9,42045
10,5477862
12,3701650
3,42007
23,1319420
3,42007
15,163753
8,12348
8,12348
12,3701650
9,42045
23,1319420
111,30354
15,163753
4,201549
23,1319420
17,75803
2,9923
23,1319420
10,5477862
2,11100
66,512196
5,28218
2,735
23,1319420
5,10078
10,63209
10,63209
66,512196
12,3701650
2,11100
5,28218
2,9923
2,52893
15,163753
4,86548
2,52893
10,5477862
17,75803
23,1319420
10,5477862
170,6604330
3,3583
12,3701650
111,30354
3,6760
111,30354
9,42045
3,42007
3,6760
23,1319420
4,201549
23,1319420
3,3583
170,6604330
5,24829
2,23585
17,75803
170,6604330
23,1319420
5,28218
23,1319420
23,1319420
170,6604330
2,735
23,1319420
6,33992
9,584830
66,512196
6,33992
10,5477862
9,17854
9,13245
23,1319420
9,584830
9,17854
66,512196
170,6604330
66,512196
170,6604330
2,14310
17,75803
66,512196
170,6604330
9,584830
5,8754
23,1319420
66,512196
5,198763
5,198763
9,17854
170,6604330
5,8754
4,86548
2,14310
1,8136
4,318163
3,42007
4,318163
66,512196
3,42007
170,6604330
10,5477862
1,312
23,1319420
10,5477862
7,141789
7,141789
1,312
1,312
23,1319420
7,141789
7,141789
7,12824
7,141789
1,312
1,312
10,5477862
1,312
8,74174
4,86548
10,5477862
4,318163
10,5477862
4,86548
4,86548
1,312
10,5477862
1,312
7,144891
4,318163
10,5477862
7,12824
1,312
7,144891
23,1319420
7,141789
23,1319420
10,5477862
4,86548
2,735
23,1319420
111,30354
23,1319420
15,163753
5,198763
5,198763
10,5477862
2,52893
5,24829
9,42045
2,23585
23,1319420
9,17854
2,11100
3,3583
3,16428
23,1319420
111,30354
2,735
3,42007
10,5477862
5,24829
2,18520
4,318163
13,81879
5,10078
66,512196
4,318163
23,1319420
4,318163
5,8754
66,512196
2,18520
5,8754
66,512196
66,512196
10,5477862
170,6604330
9,584830
23,1319420
66,512196
10,5477862
5,198763
3,42007
5,198763
6,33992
3,42007
9,584830
7,4658
6,33992
66,512196
4,318163
66,512196
2,18520
9,584830
23,1319420
66,512196
9,584830
1,8136
66,512196
17,75803
10,5477862
13,81879
1,14403
170,6604330
66,512196
8,74174
8,74174
11,59881
8,74174
66,512196
34,441116
8,74174
170,6604330
23,1319420
11,59881
23,1319420
7,71267
7,71267
7,71267
4,44098
4,44098
2,52893
66,512196
2,52893
7,71267
2,52893
10,17331
10,17331
66,512196
4,44098
1,14403
2,52893
34,441116
1,208
34,441116
10,17331
170,6604330
170,6604330
7,71267
170,6604330
2,1544
